市区町村,サポーター数
埼玉県さいたま市,436
埼玉県川口市,156
埼玉県所沢市,67
埼玉県越谷市,64
埼玉県川越市,54
埼玉県上尾市,48
埼玉県草加市,47
埼玉県朝霞市,33
埼玉県戸田市,33
埼玉県ふじみ野市,27
埼玉県和光市,25
埼玉県蕨市,25
埼玉県三郷市,25
埼玉県入間市,24
埼玉県新座市,23
埼玉県熊谷市,23
埼玉県鴻巣市,21
埼玉県富士見市,20
埼玉県志木市,19
埼玉県久喜市,17
埼玉県飯能市,16
埼玉県春日部市,16
埼玉県狭山市,16
埼玉県八潮市,15
埼玉県坂戸市,13
埼玉県白岡市,12
埼玉県本庄市,10
埼玉県桶川市,9
埼玉県深谷市,9
埼玉県北本市,8
埼玉県北葛飾郡杉戸町,8
埼玉県加須市,6
埼玉県入間郡三芳町,6
埼玉県蓮田市,6
埼玉県鶴ヶ島市,6
埼玉県行田市,5
埼玉県吉川市,5
埼玉県東松山市,4
埼玉県比企郡嵐山町,4
埼玉県南埼玉郡宮代町,4
埼玉県比企郡小川町,4
埼玉県羽生市,3
埼玉県幸手市,3
埼玉県秩父市,3
埼玉県北足立郡伊奈町,3
埼玉県日高市,2
埼玉県比企郡ときがわ町,2
埼玉県比企郡滑川町,2
埼玉県大里郡寄居町,2
埼玉県児玉郡上里町,1
埼玉県比企郡吉見町,1
埼玉県児玉郡美里町,1
埼玉県比企郡川島町,1
埼玉県秩父郡小鹿野町,1
埼玉県入間郡毛呂山町,1
,
,
