場所,市区町村,日付,曜日,開始時間,終了時間
JR浦和駅東口駅前市民広場,さいたま市浦和区,2025年7月1日,火,12:30,13:00
浦和駅東口,さいたま市浦和区,2025年7月3日,木,10:00,
川口駅東口,川口市,2025年7月3日,木,15:00,
新越谷駅,越谷市,2025年7月4日,金,,
新越谷駅,越谷市,2025年7月5日,土,10:30,11:00
越谷レイクタウン駅,越谷市,2025年7月5日,土,13:00,13:30
越谷レイクタウン駅,越谷市,2025年7月5日,土,17:00,17:30
所沢駅西口,所沢市,2025年7月6日,日,10:30,11:00
川越駅東口の広場,川越市,2025年7月6日,日,13:00,13:30
川越駅東口の広場,川越市,2025年7月6日,日,17:00,17:30
川越駅,川越市,2025年7月7日,月,8:00,
朝霞台駅,朝霞市,2025年7月7日,月,10:00,
志木駅,志木市,2025年7月7日,月,14:30,
川越駅,川越市,2025年7月7日,月,17:00,
所沢駅,所沢市,2025年7月8日,火,8:00,
久喜駅西口ロータリー,久喜市,2025年7月8日,火,11:45,12:15
上尾駅西口ロータリー,上尾市,2025年7月8日,火,14:00,14:30
大宮駅東口ロータリー,さいたま市大宮区,2025年7月8日,火,15:30,16:00
大宮駅西口,さいたま市大宮区,2025年7月8日,火,17:00,18:30
武蔵浦和駅,さいたま市南区,2025年7月9日,水,7:00,8:30
武蔵浦和駅,さいたま市南区,2025年7月9日,水,16:30,18:00
和光市,和光市,2025年7月10日,木,7:00,
和光市,和光市,2025年7月10日,木,17:30,19:00
新越谷駅,越谷市,2025年7月11日,金,7:00,
三郷中央駅前,三郷市,2025年7月11日,金,12:30,
八潮駅前,八潮市,2025年7月11日,金,13:30,
草加駅前,草加市,2025年7月11日,金,14:25,
獨協大学前駅,草加市,2025年7月11日,金,15:10,
南越谷駅前,越谷市,2025年7月11日,金,17:00,
新越谷駅,越谷市,2025年7月11日,金,17:00,
さいたま新都心西口,さいたま市中央区,2025年7月12日,土,9:30,
越谷レイクタウン,越谷市,2025年7月12日,土,12:00,
東武動物公園駅,宮代町,2025年7月12日,土,14:00,
春日部駅,春日部市,2025年7月12日,土,15:30,
大宮駅,さいたま市大宮区,2025年7月12日,土,17:30,
大宮駅,さいたま市大宮区,2025年7月12日,土,18:30,
さいたま新都心西口,さいたま市中央区,2025年7月13日,日,8:30,
戸田駅西口,戸田市,2025年7月13日,日,14:00,
蕨駅西口,蕨市,2025年7月13日,日,15:30,
大宮駅西口デッキ,さいたま市大宮区,2025年7月13日,日,17:30,
深谷駅,深谷市,2025年7月14日,月,10:20,
熊谷駅,熊谷市,2025年7月14日,月,11:40,
行田駅,行田市,2025年7月14日,月,12:45,
東松山駅,東松山市,2025年7月14日,月,14:05,
入間市駅,入間市,2025年7月14日,月,15:45,
狭山市駅,狭山市,2025年7月14日,月,16:50,
飯能駅,飯能市,2025年7月14日,月,18:20,
所沢駅,所沢市,2025年7月14日,月,19:15,
さいたま新都心駅 西口,さいたま市中央区,2025年7月16日,水,7:00,9:00
与野駅,さいたま市浦和区,2025年7月16日,水,10:00,11:00
北浦和駅,さいたま市浦和区,2025年7月16日,水,11:30,12:00
南与野駅,さいたま市中央区,2025年7月16日,水,12:30,13:00
浦和駅,さいたま市浦和区,2025年7月16日,水,14:30,15:30
さいたま新都心駅 西口,さいたま市中央区,2025年7月16日,水,16:00,18:30
南浦和駅,さいたま市南区,2025年7月16日,水,19:00,20:00
所沢駅,所沢市,2025年7月17日,木,7:30,9:00
志木駅,志木市,2025年7月17日,木,10:30,12:00
武蔵浦和駅,さいたま市南区,2025年7月17日,木,14:00,15:00
南浦和駅,さいたま市南区,2025年7月17日,木,16:00,17:00
和光市駅,和光市,2025年7月17日,木,18:00,20:00
草加駅,草加市,2025年7月18日,金,7:00,9:00
北越谷駅,越谷市,2025年7月18日,金,10:00,11:00
春日部駅,春日部市,2025年7月18日,金,11:45,13:15
岩槻駅,さいたま市岩槻区,2025年7月18日,金,15:00,16:30
草加駅,草加市,2025年7月18日,金,18:00,20:00
東川口駅,川口市,2025年7月19日,土,8:00,9:30
越谷レイクタウン駅,越谷市,2025年7月19日,土,11:30,14:00
浦和駅東口,さいたま市浦和区,2025年7月19日,土,16:00,18:00
戸田公園駅,戸田市,2025年7月19日,土,19:00,20:00
