市区町村名,候補者名,党派名等,得票数,サポーター数,演説街宣回数,投票総数,得票率,総投票数
さいたま市西区,武藤　かず子,チームみらい(新),1002,0.0,0.0,43466,2.31,43466
さいたま市北区,武藤　かず子,チームみらい(新),2199,0.0,0.0,74458,2.95,74458
さいたま市大宮区,武藤　かず子,チームみらい(新),2166,0.0,5.0,62830,3.45,62830
さいたま市見沼区,武藤　かず子,チームみらい(新),1794,0.0,0.0,77124,2.33,77124
さいたま市中央区,武藤　かず子,チームみらい(新),1883,0.0,5.0,52754,3.57,52754
さいたま市桜区,武藤　かず子,チームみらい(新),1203,0.0,0.0,43928,2.74,43928
さいたま市浦和区,武藤　かず子,チームみらい(新),3764,0.0,6.0,89134,4.22,89134
さいたま市南区,武藤　かず子,チームみらい(新),3743,0.0,5.0,95479,3.92,95479
さいたま市緑区,武藤　かず子,チームみらい(新),1884,0.0,0.0,62722,3.0,62722
さいたま市岩槻区,武藤　かず子,チームみらい(新),848,0.0,1.0,48869,1.74,48869
川越市,武藤　かず子,チームみらい(新),3619,54.0,4.0,161704,2.24,161704
熊谷市,武藤　かず子,チームみらい(新),1377,23.0,1.0,87798,1.57,87798
川口市,武藤　かず子,チームみらい(新),6933,156.0,2.0,268008,2.59,268008
行田市,武藤　かず子,チームみらい(新),491,5.0,1.0,36160,1.36,36160
秩父市,武藤　かず子,チームみらい(新),290,3.0,0.0,26908,1.08,26908
所沢市,武藤　かず子,チームみらい(新),4971,67.0,4.0,173676,2.86,173676
飯能市,武藤　かず子,チームみらい(新),762,16.0,1.0,41183,1.85,41183
加須市,武藤　かず子,チームみらい(新),690,6.0,0.0,48724,1.42,48724
本庄市,武藤　かず子,チームみらい(新),596,10.0,0.0,34631,1.72,34631
東松山市,武藤　かず子,チームみらい(新),761,4.0,1.0,42715,1.78,42715
春日部市,武藤　かず子,チームみらい(新),1849,16.0,2.0,107092,1.73,107092
狭山市,武藤　かず子,チームみらい(新),1346,16.0,1.0,72873,1.85,72873
羽生市,武藤　かず子,チームみらい(新),311,3.0,0.0,23660,1.31,23660
鴻巣市,武藤　かず子,チームみらい(新),1062,21.0,0.0,57028,1.86,57028
深谷市,武藤　かず子,チームみらい(新),770,9.0,1.0,63208,1.22,63208
上尾市,武藤　かず子,チームみらい(新),2538,48.0,1.0,109254,2.32,109254
草加市,武藤　かず子,チームみらい(新),2996,47.0,4.0,116676,2.57,116676
越谷市,武藤　かず子,チームみらい(新),3980,64.0,10.0,161689,2.46,161689
蕨市,武藤　かず子,チームみらい(新),1094,25.0,1.0,35660,3.07,35660
戸田市,武藤　かず子,チームみらい(新),2409,33.0,2.0,64436,3.74,64436
入間市,武藤　かず子,チームみらい(新),1484,24.0,1.0,69065,2.15,69065
朝霞市,武藤　かず子,チームみらい(新),2588,33.0,1.0,71293,3.63,71293
志木市,武藤　かず子,チームみらい(新),1086,19.0,2.0,35598,3.05,35598
和光市,武藤　かず子,チームみらい(新),2038,25.0,3.0,42333,4.81,42333
新座市,武藤　かず子,チームみらい(新),2160,23.0,0.0,79426,2.72,79426
桶川市,武藤　かず子,チームみらい(新),669,9.0,0.0,35447,1.89,35447
久喜市,武藤　かず子,チームみらい(新),1260,17.0,1.0,72185,1.75,72185
北本市,武藤　かず子,チームみらい(新),579,8.0,0.0,32707,1.77,32707
八潮市,武藤　かず子,チームみらい(新),947,15.0,1.0,41089,2.3,41089
富士見市,武藤　かず子,チームみらい(新),1435,20.0,0.0,52034,2.76,52034
三郷市,武藤　かず子,チームみらい(新),1499,25.0,1.0,66138,2.27,66138
蓮田市,武藤　かず子,チームみらい(新),617,6.0,0.0,29906,2.06,29906
坂戸市,武藤　かず子,チームみらい(新),778,13.0,0.0,46016,1.69,46016
幸手市,武藤　かず子,チームみらい(新),308,3.0,0.0,22415,1.37,22415
鶴ヶ島市,武藤　かず子,チームみらい(新),642,6.0,0.0,35006,1.83,35006
日高市,武藤　かず子,チームみらい(新),432,2.0,0.0,26697,1.62,26697
吉川市,武藤　かず子,チームみらい(新),734,5.0,0.0,33094,2.22,33094
